,Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,nationality
389,34,Casemiro,Real Madrid,26,11(1),945,1,0,2,0,0.6,91.3,0.8,2,7.36,Brazil
391,7,Iago Aspas,Celta Vigo,30,33(1),2938,22,5,9,0,2.8,78.8,0.5,11,7.49,Spain
392,8,Toni Kroos,Real Madrid,28,26(1),2268,5,7,4,0,1.5,93.1,0.4,0,7.47,Germany
393,123,Toni Kroos,Real Madrid,28,10(2),953,0,1,0,0,0.7,93.9,0.2,0,7.01,Germany
395,9,Filipe Luis,Atletico Madrid,32,19(1),1660,1,2,4,0,0.3,83.4,0.9,2,7.45,Brazil
396,37,Filipe Luis,Atletico Madrid,32,6,540,0,0,1,0,1,85.7,1,0,7.34,Brazil
398,15,Luka Modric,Real Madrid,32,23(3),1976,1,6,3,0,1.3,89.9,0.3,0,7.29,Croatia
400,121,Luka Modric,Real Madrid,32,11,958,1,1,2,0,0.8,89.9,0.2,0,7.02,Croatia
402,16,Sergio Busquets,Barcelona,29,30(1),2600,1,4,8,0,0.2,90.5,1.6,0,7.25,Spain
404,122,Sergio Busquets,Barcelona,29,9(1),768,0,0,1,0,0.2,93.0,1.2,0,7.01,Spain
406,18,Jordi Alba,Barcelona,29,30(3),2745,2,8,8,0,0.5,86.8,0.5,2,7.22,Spain
408,217,Jordi Alba,Barcelona,29,7(1),638,0,0,0,0,0.1,87.9,0.3,0,6.78,Spain
410,25,Gerard Pique,Barcelona,31,29(1),2633,2,0,9,0,0.6,89.4,2.2,0,7.16,Spain
412,166,Gerard Pique,Barcelona,31,9,736,1,0,2,1,0.3,90.2,2,0,6.9,Spain
414,26,Isco,Real Madrid,26,21(9),1781,7,7,1,0,1.6,88.8,0.2,3,7.16,Spain
416,148,Isco,Real Madrid,26,10(1),736,0,2,1,0,2,91.5,0.3,0,6.96,Spain
418,27,Goncalo Guedes,Valencia,21,27(6),2444,5,9,2,0,1.8,79.3,0.3,3,7.16,Portugal
420,34,Ivan Rakitic,Barcelona,30,31(4),2839,1,5,4,0,0.8,90.3,0.7,0,7.12,Croatia
422,151,Ivan Rakitic,Barcelona,30,8(2),758,1,0,1,0,0.5,91.0,0.5,1,6.95,Croatia
424,40,Sergio Ramos,Real Madrid,32,26,2292,4,1,7,2,1.1,90.3,3.3,1,7.09,Spain
426,86,Sergio Ramos,Real Madrid,32,11,990,1,0,3,0,1.5,92.3,2.5,0,7.1,Spain
428,42,Ever Banega,Sevilla,29,25(6),2397,3,3,9,1,1.2,86.8,0.4,0,7.08,Argentina
430,15,Ever Banega,Sevilla,29,9,792,1,2,4,0,1.2,87.6,0.3,2,7.72,Argentina
432,49,Samuel Umtiti,Barcelona,24,24(1),2189,1,0,7,0,0.4,91.2,1.9,0,7.03,France
434,129,Samuel Umtiti,Barcelona,24,9,810,0,0,0,0,0.1,91.0,1.6,0,7.01,France
436,50,Cristhian Stuani,Girona,31,32(1),2723,21,0,8,0,2.2,66.7,3.6,3,7.03,Uruguay
438,62,Jefferson Lerma,Levante,23,25(1),2138,0,1,16,0,1,81.7,3.4,0,6.99,Colombia
440,69,Pione Sisto,Celta Vigo,23,31(3),2535,5,9,2,0,1.5,84.2,-,0,6.96,Denmark
442,75,Keylor Navas,Real Madrid,31,27,2430,0,0,1,0,-,76.0,0.1,1,6.94,Costa Rica
444,178,Keylor Navas,Real Madrid,31,11,990,0,0,0,0,-,65.2,0.4,1,6.86,Costa Rica
446,83,Andres Guardado,Real Betis,31,25(4),2267,2,8,7,0,1.1,86.5,0.6,2,6.91,Mexico
448,84,Lucas Vazquez,Real Madrid,26,16(17),1670,4,7,3,0,1,86.7,0.2,0,6.91,Spain
450,97,Lucas Vazquez,Real Madrid,26,5(5),545,1,2,1,0,0.6,86.9,0.1,1,7.08,Spain
452,87,Andres Iniesta,Barcelona,34,25(5),1843,1,2,1,0,0.5,88.2,0.1,0,6.91,Spain
454,73,Andres Iniesta,Barcelona,34,8,624,0,2,0,0,1,90.2,-,0,7.15,Spain
456,89,Marc-Andre ter Stegen,Barcelona,26,37,3330,0,0,0,0,-,79.5,0.1,0,6.9,Germany
458,225,Marc-Andre ter Stegen,Barcelona,26,9,810,0,0,0,0,-,74.5,0.2,0,6.76,Germany
460,90,Nacho,Real Madrid,28,22(5),2073,3,0,7,0,0.3,90.8,1.4,0,6.9,Spain
462,72,Nacho,Real Madrid,28,6(2),595,1,0,1,0,0.6,91.1,1.3,0,7.17,Spain
464,95,Steven N'Zonzi,Sevilla,29,26(1),2216,1,2,2,0,0.8,88.0,3.8,1,6.89,France
466,133,Steven N'Zonzi,Sevilla,29,8,676,0,0,2,0,0.9,92.4,3.1,0,7.0,France
468,96,Celso Borges,Deportivo La Coruna,30,26(6),2307,3,3,3,1,1,78.1,3.7,1,6.89,Costa Rica
470,109,Raphael Varane,Real Madrid,25,27,2324,0,1,3,0,0.4,90.8,1.9,1,6.85,France
472,99,Raphael Varane,Real Madrid,25,11,938,0,0,1,0,0.6,90.0,2.5,0,7.07,France
474,111,Faycal Fajr,Getafe,29,26(5),2384,1,4,7,0,0.7,75.0,0.8,1,6.84,Morocco
476,123,Simon Kjaer,Sevilla,29,18(2),1572,2,0,3,0,0.5,84.4,2.2,0,6.82,Denmark
478,182,Simon Kjaer,Sevilla,29,6,540,1,0,0,0,0.7,83.8,1.5,0,6.86,Denmark
480,129,Gabriel Mercado,Sevilla,31,25(1),2124,0,1,9,0,0.7,83.1,1.6,1,6.8,Argentina
482,333,Gabriel Mercado,Sevilla,31,8,692,0,0,3,0,0.3,79.0,1,0,6.49,Argentina
484,135,Kepa Arrizabalaga,Athletic Bilbao,23,30,2700,0,0,4,0,-,62.9,0.3,2,6.79,Spain
486,155,Johan Mojica,Girona,25,22(8),2132,0,4,6,0,0.7,77.8,0.9,1,6.74,Colombia
488,159,Mateo Kovacic,Real Madrid,24,10(11),989,0,1,2,0,0.4,93.7,-,2,6.73,Croatia
490,345,Mateo Kovacic,Real Madrid,24,4(3),258,0,1,2,0,0.1,90.7,0.1,0,6.47,Croatia
492,198,Takashi Inui,Eibar,30,31(3),2640,5,2,4,0,1.9,80.4,0.4,2,6.64,Japan
494,239,Marko Dmitrovic,Eibar,26,36,3240,0,0,1,0,-,45.8,0.4,0,6.54,Serbia
496,277,Gaku Shibasaki,Getafe,26,12(10),1004,1,0,2,0,0.5,74.7,0.3,0,6.4,Japan
498,278,Nordin Amrabat,Leganes,31,17(13),1624,2,4,5,1,1.2,69.3,0.4,0,6.36,Morocco
500,16,Mario Fernandes,CSKA Moscow,27,25,2134,0,3,2,0,0.6,79.9,2.8,0,7.17,Russia
502,116,Mario Fernandes,CSKA Moscow,27,6,540,0,1,1,0,0.3,77.5,2.7,0,7.03,Russia
504,18,Andreas Granqvist,FC Krasnodar,33,29,2610,1,2,6,0,0.3,87.0,2.8,2,7.16,Sweden
506,23,Viktor Claesson,FC Krasnodar,26,28(2),2490,10,6,1,0,2.3,80.4,0.9,4,7.12,Sweden
508,31,Ilya Kutepov,Spartak Moscow,24,15(3),1444,1,0,5,0,0.2,86.0,2.1,0,7.08,Russia
510,38,Sverrir Ingi Ingason,FC Rostov,24,28,2479,3,0,4,0,0.8,76.6,1.7,4,7.03,Iceland
512,46,Saeid Ezatolahi,Amkar,21,12(3),996,1,0,4,0,1.4,67.6,3.7,1,6.99,Iran
514,58,Milad Mohammadi,FK Akhmat,24,21(2),1921,0,2,1,0,1.1,75.4,0.8,0,6.94,Iran
516,74,Roman Zobnin,Spartak Moscow,24,10(4),1006,0,1,2,0,1.4,81.8,1.1,0,6.85,Russia
518,128,Sardar Azmoun,Rubin Kazan,23,13(13),1429,5,3,4,0,1.6,66.0,2,1,6.71,Iran
520,136,Vladimir Granat,Rubin Kazan,31,26(1),2419,0,0,10,0,0.1,78.2,1.3,0,6.68,Russia
522,178,Aleksandr Samedov,Spartak Moscow,33,18(3),1468,2,1,3,1,1.3,81.5,0.4,0,6.56,Russia
524,372,Aleksandr Samedov,Spartak Moscow,33,2(2),192,1,0,0,0,0.8,85.3,-,0,6.4,Russia
526,228,Vladimir Gabulov,Arsenal Tula,34,20,1800,0,0,2,0,-,41.8,0.1,0,6.3,Russia
528,5,Cristian Pavon,Boca Juniors,22,26,2283,6,11,3,0,2.5,74.0,0.7,5,7.57,Argentina
529,9,Frank Fabra,Boca Juniors,27,22,1936,2,3,6,0,0.5,83.8,1.4,2,7.45,Colombia
530,17,Wilmar Barrios,Boca Juniors,24,23,1991,1,0,6,0,0.2,84.4,2,1,7.36,Colombia
532,21,Maximiliano Meza,Independiente,26,17(2),1539,3,4,1,0,2.5,76.5,2.1,0,7.3,Argentina
534,29,Gaston Silva,Independiente,24,11(1),1015,1,0,2,0,0.6,86.2,1.2,1,7.25,Uruguay
536,64,Franco Armani,River Plate,31,14,1260,0,0,0,0,-,62.3,0.4,0,7.11,Argentina
538,135,Nahitan Nandez,Boca Juniors,22,20(4),1887,4,0,5,0,1.1,81.4,0.8,0,6.96,Uruguay
540,327,Martin Campana,Independiente,29,23,2070,0,0,1,0,-,65.2,0.3,0,6.65,Uruguay
542,1,James Rodriguez,Bayern Munich,26,19(4),1627,7,11,2,0,1.7,90.0,0.3,5,7.63,Colombia
543,110,James Rodriguez,Bayern Munich,26,8(4),779,1,2,1,0,1.7,89.8,-,0,7.05,Colombia
545,3,Robert Lewandowski,Bayern Munich,29,24(6),2169,29,2,1,0,4.2,79.5,1.8,2,7.49,Poland
546,47,Robert Lewandowski,Bayern Munich,29,11,955,5,1,2,0,4.2,77.1,2,1,7.29,Poland
548,7,Thiago Alcantara,Bayern Munich,27,12(7),1243,2,2,3,0,1.3,91.5,1.2,2,7.36,Spain
549,33,Thiago Alcantara,Bayern Munich,27,7(3),608,3,0,2,0,0.9,91.3,0.5,2,7.37,Spain
551,8,Salif Sane,Hannover 96,27,32,2880,4,1,6,0,0.9,81.0,5.7,5,7.34,Senegal
552,11,Thomas Muller,Bayern Munich,28,22(7),1966,8,14,4,0,1.5,76.9,1.2,1,7.28,Germany
554,105,Thomas Muller,Bayern Munich,28,8(2),734,3,2,1,0,2.3,74.1,1.8,0,7.06,Germany
556,12,Mats Hummels,Bayern Munich,29,25(1),2213,1,1,3,0,1,87.3,2.8,1,7.27,Germany
558,69,Mats Hummels,Bayern Munich,29,8(1),679,1,0,1,0,2.1,84.8,3,0,7.18,Germany
560,15,Joshua Kimmich,Bayern Munich,23,26(3),2334,1,10,1,0,0.3,90.3,0.8,1,7.23,Germany
562,38,Joshua Kimmich,Bayern Munich,23,10(1),897,4,3,2,0,0.6,91.6,0.6,1,7.33,Germany
564,19,Lukasz Piszczek,Borussia Dortmund,33,24,2140,0,3,3,0,0.8,81.3,2.7,0,7.19,Poland
566,21,Jerome Boateng,Bayern Munich,29,19,1644,1,2,4,0,0.7,86.9,1.7,1,7.14,Germany
568,215,Jerome Boateng,Bayern Munich,29,8(1),677,0,1,2,0,0.2,84.5,1.3,0,6.78,Germany
570,25,Alfred Finnbogason,Augsburg,29,22,1826,12,3,2,0,2.3,71.6,0.8,3,7.11,Iceland
572,26,Thorgan Hazard,Borussia M.Gladbach,25,33(1),2947,10,5,1,0,2.6,76.3,0.9,3,7.11,Belgium
574,29,Benjamin Pavard,VfB Stuttgart,22,34,3060,1,0,2,0,0.3,83.7,3,4,7.1,France
576,37,Thomas Delaney,Werder Bremen,26,31(1),2796,3,4,5,0,1.8,71.9,3.7,3,7.06,Denmark
578,43,Leon Goretzka,Schalke 04,23,21(5),1983,4,2,3,0,1.7,79.8,1.3,1,7.03,Germany
580,47,Jonas Hector,FC Cologne,28,20,1761,2,2,4,0,0.8,81.8,2.6,1,7.0,Germany
582,56,Corentin Tolisso,Bayern Munich,23,17(9),1529,6,4,3,0,1.6,90.4,0.8,1,6.99,France
584,88,Corentin Tolisso,Bayern Munich,23,6(2),497,3,2,2,0,1.6,91.7,1.1,1,7.09,France
586,63,Julian Brandt,Bayer Leverkusen,22,26(8),2337,9,3,0,0,1.3,79.0,0.6,1,6.98,Germany
588,65,Ante Rebic,Eintracht Frankfurt,24,21(4),1764,6,2,8,0,1.8,56.9,1.4,1,6.96,Croatia
590,69,Mathew Leckie,Hertha Berlin,27,19(7),1854,5,1,3,0,0.9,70.9,3.7,3,6.96,Australia
592,79,Jannik Vestergaard,Borussia M.Gladbach,25,32,2880,3,0,5,0,0.8,85.4,3.2,1,6.93,Denmark
594,85,Matthias Ginter,Borussia M.Gladbach,24,34,3060,5,2,2,0,0.9,87.1,2.9,1,6.92,Germany
596,86,Koen Casteels,Wolfsburg,25,34,3060,0,0,1,0,-,60.7,0.6,2,6.92,Belgium
598,87,Nico Elvedi,Borussia M.Gladbach,21,33,2916,2,2,6,0,0.5,83.5,2.8,0,6.92,Switzerland
600,88,Amine Harit,Schalke 04,20,23(8),2053,3,3,3,0,0.8,84.2,0.4,2,6.92,Morocco
602,92,Niklas Sule,Bayern Munich,22,20(7),1919,2,1,1,0,0.7,92.7,1.6,1,6.9,Germany
604,317,Niklas Sule,Bayern Munich,22,6(3),644,0,0,0,0,0.7,94.1,0.9,0,6.55,Germany
606,106,Marvin Plattenhardt,Hertha Berlin,26,33,2970,0,7,6,0,0.5,81.6,1,0,6.85,Germany
608,109,Sebastian Rudy,Bayern Munich,28,16(9),1509,1,4,2,0,0.8,89.9,0.8,0,6.84,Germany
610,200,Sebastian Rudy,Bayern Munich,28,3(2),346,0,0,2,0,1,92.4,0.6,0,6.8,Germany
612,123,Shinji Kagawa,Borussia Dortmund,29,12(7),1166,5,1,0,0,1.3,87.5,0.1,0,6.81,Japan
614,237,Shinji Kagawa,Borussia Dortmund,29,5,402,0,2,0,0,2.2,88.4,0.6,0,6.73,Japan
616,130,Yann Sommer,Borussia M.Gladbach,29,30,2627,0,0,1,0,-,69.9,0.3,0,6.79,Switzerland
618,148,Yoshinori Muto,Mainz 05,25,20(7),1906,8,2,2,0,1.4,74.9,1.3,1,6.75,Japan
620,154,Ludwig Augustinsson,Werder Bremen,24,29,2535,1,0,3,0,0.8,78.1,1.5,0,6.73,Sweden
622,160,Denis Zakaria,Borussia M.Gladbach,21,29(1),2308,2,1,11,0,0.7,89.3,0.6,0,6.73,Switzerland
624,183,Filip Kostic,Hamburger SV,25,27(3),2413,5,1,2,0,2.2,64.6,1,2,6.68,Serbia
626,184,Carlos Salcedo,Eintracht Frankfurt,24,17(3),1608,0,0,5,0,0.3,80.3,2.4,0,6.68,Mexico
628,194,Milos Veljkovic,Werder Bremen,22,30,2656,1,0,2,0,0.2,77.5,2,0,6.64,Serbia
630,200,Gotoku Sakai,Hamburger SV,27,26(2),2289,0,0,2,0,0.6,75.7,1.3,0,6.63,Japan
632,207,Albin Ekdal,Hamburger SV,28,12(7),1109,0,1,3,0,0.4,76.3,1.6,0,6.61,Sweden
634,215,Makoto Hasebe,Eintracht Frankfurt,34,23(1),2090,0,0,3,1,0.1,88.5,0.6,0,6.57,Japan
636,216,Luka Jovic,Eintracht Frankfurt,20,9(13),929,8,1,2,0,1.7,73.6,1,0,6.57,Serbia
638,221,Gelson Fernandes,Eintracht Frankfurt,31,12(7),1036,0,0,4,0,0.1,81.7,0.4,0,6.56,Switzerland
640,242,Breel Embolo,Schalke 04,21,9(12),916,3,0,4,0,0.9,74.3,0.8,0,6.49,Switzerland
642,32,Willian,Palmeiras,31,6(3),550,6,0,1,0,2.9,80.0,-,2,7.27,Brazil
644,66,Willian,Chelsea,29,20(16),1883,6,7,1,0,1.5,80.2,0.3,4,7.01,Brazil
646,29,Willian,Chelsea,29,4(4),429,3,1,1,0,1.8,72.5,0.3,3,7.39,Brazil
648,39,Cassio,Corinthians,31,5,450,0,0,0,0,-,60.9,0.4,0,7.22,Brazil
650,78,Cassio,Rio Ave,37,29,2610,0,0,3,0,-,77.2,0.5,2,6.85,Brazil
652,93,Bruno Alves,Sao Paulo,27,7,586,1,0,3,0,0.3,84.1,3,0,6.99,Portugal
654,126,Marquinhos,America MG,28,3(2),256,1,1,0,0,1.2,71.2,0.4,0,6.88,Brazil
656,97,Marquinhos,Paris Saint Germain,24,25(1),2264,0,2,1,0,0.5,93.9,1.6,1,6.91,Brazil
658,127,Marquinhos,Paris Saint Germain,24,8,720,0,1,1,0,0.3,94.2,2,0,7.01,Brazil
660,280,Martin Silva,Vasco da Gama,35,5,450,0,0,0,0,-,65.0,-,0,6.22,Uruguay
662,281,Pepe,Gremio,21,0(5),93,0,0,1,0,0.4,75.6,-,0,6.21,Portugal
665,211,Pepe,Estoril,21,19(3),1662,1,1,4,0,1.3,84.5,0.1,0,6.48,Portugal
667,34,Pepe,Besiktas,35,23,2041,2,1,4,0,0.7,84.5,3.8,2,7.11,Portugal
669,54,Pepe,Besiktas,35,6,540,0,0,2,0,0.5,71.9,3.5,0,7.25,Portugal
671,3,Renato Augusto,Beijing Guoan,30,9,810,2,5,1,0,1.6,81.7,0.3,4,8.15,Brazil
672,12,Fernandinho,Chongqing Lifan,32,9,809,2,4,0,0,2.6,75.4,1.4,1,7.69,Brazil
673,18,Fernandinho,Chongqing Lifan,25,9,810,1,3,0,0,2.1,73.2,0.2,2,7.48,Brazil
676,10,Fernandinho,Manchester City,33,33(1),2885,5,3,7,0,1.4,90.1,2.8,1,7.44,Brazil
677,150,Fernandinho,Manchester City,33,8,682,0,0,2,0,1,89.9,2.6,0,6.96,Brazil
679,32,John Obi Mikel,Tianjin Teda,31,11,990,1,2,4,0,0.6,83.8,2,0,7.17,Nigeria
681,33,Yannick Carrasco,Dalian Yifang,24,11,990,3,2,2,0,3.5,81.7,0.2,1,7.16,Belgium
683,370,Yannick Carrasco,Atletico Madrid,24,3(2),269,0,0,0,0,1.8,80.5,-,0,6.4,Belgium
685,36,Odion Ighalo,Changchun Yatai,28,11,990,7,0,3,0,3.5,72.8,1,2,7.12,Nigeria
687,60,Axel Witsel,Tianjin Quanjian,29,9,805,1,0,0,0,0.6,86.8,2.4,1,6.95,Belgium
689,133,Jose Fonte,Dalian Yifang,34,7,621,0,0,0,0,0.9,81.4,2.1,0,6.58,Portugal
691,1,Neymar,Paris Saint Germain,26,20,1788,19,13,4,1,4.5,79.6,0.2,12,8.95,Brazil
692,1,Neymar,Paris Saint Germain,26,7,630,6,3,2,0,4,77.9,-,4,9.11,Brazil
693,4,Edinson Cavani,Paris Saint Germain,31,30(2),2589,28,6,3,0,3.3,80.2,0.3,2,7.69,Uruguay
694,20,Edinson Cavani,Paris Saint Germain,31,8,680,7,1,1,0,3.4,79.9,0.6,0,7.59,Uruguay
696,5,Kylian Mbappe,Paris Saint Germain,19,24(3),2097,13,8,2,0,2.9,83.1,0.3,7,7.54,France
697,10,Kylian Mbappe,Paris Saint Germain,19,8,658,4,3,1,0,3,80.7,0.3,1,7.91,France
698,13,Angel Di Maria,Paris Saint Germain,30,26(4),2122,11,6,1,0,3.2,79.4,-,3,7.37,Argentina
700,312,Angel Di Maria,Paris Saint Germain,30,1(4),143,1,1,0,0,1.4,76.2,-,0,6.55,Argentina
702,16,Naim Sliti,Dijon,25,26(5),2297,7,6,2,0,1.9,73.1,0.5,3,7.31,Tunisia
704,33,Djibril Sidibe,Monaco,25,25(2),2157,2,7,4,0,0.7,85.3,1.6,4,7.14,France
706,37,Ellyes Skhiri,Montpellier,23,35,3052,4,1,8,0,1.1,86.2,1,2,7.13,Tunisia
708,42,Kamil Glik,Monaco,30,36,3240,3,3,8,0,0.7,81.1,2.7,1,7.12,Poland
710,292,Kamil Glik,Monaco,30,6,540,1,0,0,0,0.7,73.3,3.8,0,6.61,Poland
712,45,Youssouf Sabaly,Bordeaux,25,35,3094,0,5,3,0,0.3,82.3,1.2,2,7.11,Senegal
714,48,Joao Moutinho,Monaco,31,31(2),2801,1,6,6,0,0.7,86.3,0.8,2,7.11,Portugal
716,282,Joao Moutinho,Monaco,31,5(1),467,0,1,1,0,0.5,80.7,0.5,1,6.63,Portugal
718,51,Thomas Lemar,Monaco,22,27(3),2383,2,8,1,0,1.6,84.8,0.2,1,7.1,France
720,54,Thomas Meunier,Paris Saint Germain,26,16(8),1573,4,4,3,0,0.5,84.8,1,0,7.09,Belgium
722,55,Thiago Silva,Paris Saint Germain,33,24(1),2117,1,0,5,0,0.4,96.1,1.9,0,7.08,Brazil
724,124,Thiago Silva,Paris Saint Germain,33,6,522,0,0,0,0,0.3,94.9,1.5,0,7.01,Brazil
726,61,Julian Draxler,Paris Saint Germain,24,19(11),1706,4,5,1,0,0.8,92.8,0.3,0,7.04,Germany
728,281,Julian Draxler,Paris Saint Germain,24,3(5),316,0,1,1,0,0.5,91.7,0.4,0,6.64,Germany
730,68,Wahbi Khazri,Rennes,27,23(1),1927,9,2,7,1,2.7,77.6,0.7,3,7.0,Tunisia
732,87,Lukas Lerager,Bordeaux,24,37,3286,3,1,8,0,1.1,77.1,2.7,0,6.94,Denmark
734,92,Ismaila Sarr,Rennes,20,22(2),1866,5,3,2,0,1.7,79.7,0.5,0,6.92,Senegal
736,106,Alphonse Areola,Paris Saint Germain,25,34,3060,0,0,0,0,-,91.1,0.2,2,6.88,France
738,61,Alphonse Areola,Paris Saint Germain,25,8,720,0,0,0,0,-,79.4,0.4,0,7.22,France
740,120,Presnel Kimpembe,Paris Saint Germain,22,27(1),2425,0,0,6,2,0.4,95.3,1.1,0,6.84,France
742,123,Youri Tielemans,Monaco,21,18(9),1567,0,1,1,0,0.9,81.8,1,0,6.84,Belgium
744,207,Youri Tielemans,Monaco,21,4,311,1,0,1,0,1.3,76.1,1.8,0,6.79,Belgium
746,181,Youssef Ait Bennasser,Caen,21,25(2),2054,0,0,4,0,0.9,83.2,0.9,0,6.72,Morocco
748,188,Chidozie Awaziem,Nantes,21,16(6),1510,1,1,2,1,0.6,76.5,1.4,1,6.7,Nigeria
750,198,Karl-Johan Johnsson,Guingamp,28,38,3420,0,0,0,0,-,58.6,0.4,1,6.68,Sweden
752,209,Moussa Konate,Amiens,25,28(5),2482,13,1,8,0,2.1,67.7,2.3,2,6.64,Senegal
754,216,Jimmy Durmaz,Toulouse,29,12(8),1032,3,3,5,0,0.7,72.9,0.5,1,6.61,Sweden
756,217,Eiji Kawashima,Metz,35,29,2570,0,0,0,1,-,49.3,-,0,6.61,Japan
758,233,Danijel Subasic,Monaco,33,34,2941,0,0,3,0,-,63.7,0.3,0,6.57,Croatia
760,252,Oussama Haddadi,Dijon,26,27(6),2501,1,1,6,1,0.2,78.0,0.5,0,6.5,Tunisia
762,293,Ola Toivonen,Toulouse,31,8(15),796,0,0,2,0,0.8,71.5,1.9,0,6.27,Sweden
765,2,Carlos Vela,Los Angeles FC,29,12,1080,7,2,1,0,3.9,83.4,0.3,4,7.82,Mexico
766,59,Gustav Svensson,Seattle Sounders FC,31,9,810,1,0,1,0,0.8,85.5,1.9,0,7.11,Sweden
768,137,Jonathan dos Santos,LA Galaxy,28,7(1),622,1,0,2,0,0.6,88.0,0.1,0,6.88,Mexico
770,164,Kendall Waston,Vancouver Whitecaps,30,13,1093,1,1,4,1,1.4,77.7,2.8,1,6.79,Costa Rica
772,169,Francisco Calvo,Minnesota United,25,12,1080,0,0,4,0,0.8,83.1,2.6,0,6.78,Costa Rica
